u,v,length
253314402,308234643,42.742000000000004
253314402,297209156,26.060000000000002
253314403,253315131,42.773
253314403,9719955903,73.454
253314404,253314403,116.65299999999999
253314404,1034004795,61.300000000000004
253315130,253290813,47.012
253315131,253314082,41.44
253315131,308234639,146.36300000000003
253315226,253315227,61.105999999999995
253315226,253314295,68.996
253315227,253314400,173.84300000000002
253315365,4862273061,344.3650000000001
253315544,289340121,13.506
253315544,2408448739,424.4659999999999
253330892,289340123,255.58700000000005
253330892,253330896,293.29499999999996
253330896,253332974,859.7660000000002
253331259,253331260,66.75399999999999
253331259,253314296,64.779
253331260,4862273081,152.09900000000002
253331261,308234642,66.015
253331261,3296362675,51.247
253331761,420038962,9.529
253331761,420039039,130.638
253331807,1038509270,36.876
253331807,4862280130,7.018000000000001
253332974,1034004862,254.978
253332980,274241035,5.133
253332980,288176019,59.495
253333456,525459207,271.424
253333456,1034004842,280.182
253333461,2408448739,753.9240000000001
256011286,356625421,23.945999999999998
256011286,4876292652,45.358999999999995
256014727,256014750,139.03699999999998
256014750,256014956,1023.6939999999998
256014750,256014727,139.03699999999998
256014956,256014957,24.973
256014956,256014750,216.58100000000002
256014957,256014956,24.973
256014957,256015035,94.584
256014957,1054616701,82.13499999999999
256015035,291496675,80.052
256015035,256014957,94.584
256015035,1054617244,82.97900000000001
256015035,6574940721,50.562
256015556,256363241,45.859
256015556,291157816,227.41999999999996
256015573,5159654954,82.719
256015573,566142529,79.31
256015760,256015573,149.954
256015937,1683192182,218.10600000000005
256015937,660911704,237.762
256016231,256015937,643.651
256016264,1051895012,49.152
256016264,662071404,41.006
256016471,1832003632,37.301
256016471,8762950241,111.724
256017552,1832003659,152.65800000000002
256017779,8358637223,132.06300000000002
256017920,8358637162,14.137
256018303,293113344,445.30600000000004
256018303,983512429,95.644
256018303,420038154,317.558
256361666,6574940721,11.398
256361666,308715453,35.694
256361666,1054617269,9.972000000000001
256363215,6574940721,17.932000000000002
256363215,256361666,14.105
256363216,256363215,11.962
256363216,256363218,34.650999999999996
256363218,256363239,50.162
256363218,256363216,34.650999999999996
256363239,291157621,44.118
256363239,256363218,50.162
